x,is_hedge_fund
"discover growth fund, llc",N
"trilogy equity partners, llc",N
"eclipse continuity gp i, llc",N
baring vostok fund v nominees ltd,N
"chicago pacific founders ugp, llc",N
"hudson vegas investment spv, llc",N
"leavitt equity partners ii, l.p.",N
packaging finance ltd,N
"oak hc/ft partners ii, l.p.",N
"papaya growth opportunity i sponsor, llc",N
monarch alternative capital lp,Y
"fs development holdings ii, llc",N
lopatin uri a,N
"raging capital management, llc",Y
"focused compounding fund, lp",Y
amphissa holdings limited partnership,N
onyx enterprises canada inc.,N
"frazier life sciences ix, l.p.",N
tardimed sciences llc,N
"fintech investor holdings iii, llc",N
"gtcr-ultra holdings, llc",N
"technology crossover management viii, ltd.",N
cvc capital partners vi ltd,N
"5am ventures iv, l.p.",N
"jazz human performance opportunity fund, lp",N
cevian capital ii gp ltd,Y
"juniper capital iii gp, l.p.",N
"mfn partners, lp",Y
roadmap capital general partner ltd,N
"prescott group capital management, l.l.c.",Y
"luxe energy, llc",N
"pearl energy investments, l.p.",N
paulson & co. inc.,Y
lightspeed venture partners viii lp,N
"iroquois capital management, llc",Y
qubit gp ltd,N
"northern pacific growth investment advisors, llc",N
otov alfa holdings ltd,N
pioneer merger sponsor llc,N
deepkloof ltd,N
alpha frontier ltd,N
rt-icon holdings llc,N
grove energy capital llc,N
gatemore capital management llp,N
pentwater capital management lp,Y
"phpc sponsor, llc",N
"chain of lakes investment fund, llc",N
prime number acquisition llc,N
hoche partners pharma holding s.a.,N
malven group ltd,N
"athyrium capital management, lp",Y
"tolerantia, llc",N
sylebra capital ltd,Y
"punch & associates investment management, inc.",Y
high gate investments ltd.,N
crescent capital investments ltd.,N
azure investments ltd,N
veneto holdings ltd,N
"checkmate strategic capital 2, llc",N
"rising tide v, llc",N
"volkswagen group of america investments, llc",N
carlyle group inc.,N
maven investment partners us ltd,N
tcp-asc achi series lllp,N
"new mountain investments v, l.l.c.",N
"i9 plus, llc",N
price t rowe associates inc /md/,N
"incube labs, l.l.c.",N
"chatham asset management, llc",Y
french gregory ralph,N
"s3 dynamics, l.p.",N
"greater miami jewish federation, inc.",N
"ae red holdings, llc",N
"union square park capital management, llc",Y
regencell (bvi) ltd,N
"rivervest venture fund iii, l.p.",N
broadview ventures i llc,N
"versant venture capital v, l.p.",N
"mainpointe pharmaceuticals, llc",N
teebank family ltd partnership,N
"cove street capital, llc",Y
wesbild inc.,N
er reservoir llc,N
"pershing square capital management, l.p.",Y
"adicet bio, inc.",N
"handok, inc.",N
genexine inc.,N
deer x & co. l.p.,N
"supernova partners ii, llc",N
bluescape riley exploration holdings llc,N
"riley exploration group, llc",N
"yorktown energy partners xi, l.p.",N
boomer petroleum llc,N
"stronghold energy ii operating, llc",N
emergent fidelity technologies ltd.,N
"roc energy holdings, llc",N
"khosla ventures seed b, l.p.",N
deer viii & co. ltd.,N
borgwarner inc,N
"carvana group, llc",N
sanders morris harris llc,N
"mv management xi, l.l.c.",N
nebula caravel holdings llc,N
"madrona venture fund iv, lp",N
"rgh, inc.",N
hill path capital lp,Y
"longitude capital partners ii, llc",N
big cypress holdings llc,N
sagaliam sponsor llc,N
"andreessen horowitz fund iv, l.p.",N
"general catalyst group management holdings gp, llc",N
sp common equity subsidiary llc,N
liberty 77 capital l.p.,N
"shin nippon biomedical laboratories, ltd.",N
"lux capital management, llc",N
thermo fisher scientific inc.,N
"ppd, inc.",N
wby entertainment holdings ltd.,N
lavacano holdings ltd,N
cosmic soar ltd,N
wolter global investment ltd,N
scion 1 sponsor llc,N
scion 2 sponsor llc,N
scps/strategic capital partners llc,N
hcfp/capital partners 18b-2 llc,N
hcfp/capital partners 18b-1 llc,N
scorpio services holding ltd,N
qudian inc.,N
maverick capital management llc,N
cmls holdings llc,N
"opko health, inc.",N
simplot taiwan inc.,N
masters capital management llc,Y
"north sound trading, lp",N
chione ltd,N
"wax asset management, llc",N
general motors holdings llc,N
rmr group llc,N
zip co ltd,N
document security systems inc,N
"sportshub games network, inc.",N
"oaktree power opportunities fund iv (delaware) holdings, l.p.",N
"shoulderup technology sponsor, llc",N
"lion point capital, lp",Y
"shd gp ii, llc",N
signa international sports holdings gmbh,N
taucoin asset management llc,N
"u.s. venture partners xii, l.p.",N
stingray group inc.,N
"cdh fund vi, l.p.",N
cm bermuda ltd,N
"source energy partners, llc",N
naspers ltd,N
"atlas venture fund ix, l.p.",N
"westcapskillz 2020-a, llc",N
"wildcat capital management, llc",Y
"trilogy capital group, llc",N
entrepreneurs fund general partner ltd,N
octopus investments ltd.,N
"fifth wall acquisition sponsor, llc",N
"retv gp, llc",N
kushkush investments pty ltd,N
"idtec, llc",N
"railroad ranch capital management, lp",N
"red crow capital, llc",N
ultragenyx pharmaceutical inc.,N
cmls holdings ii llc,N
"ajp holding company, llc",N
global catalyst partners iii l p,N
"patriot financial partners ii, l.p.",N
"nvc holdings, llc",N
"sparx holdings, llc",N
"hanmi pharmaceutical co., ltd.",N
"rok consulting, inc.",N
"cbm biopharma, inc.",N
"rre ventures gp v, llc",N
"h&f corporate investors x, ltd.",N
akicv llc,N
"sportsmap, llc",N
"oaktree capital group holdings gp, llc",N
"spree operandi, lp",N
"h&f corporate investors ix, ltd.",N
"healthcap viii, l.p.",N
"polaris management co. vii, l.l.c.",N
firstmark horizon sponsor llc,N
"argonaut private equity, l.l.c.",N
exworth management llc,N
q power llc,N
"stryve foods holdings, llc",N
"crescent saints holdings, llc",N
"newcrestimage holdings, llc",N
tiger infrastructure partners lp,N
"ftv v, l.p.",N
newlight partners lp,Y
"global infrastructure investors iii, llc",N
"allied integral united, inc.",N
"star equity fund, lp",N
"roboticine, inc.",N
"column group iii gp, lp",N
vnv (cyprus) ltd,N
queen's gambit holdings llc,N
acr group paper holdings lp,N
"ccur holdings, inc.",N
walmart inc.,N
svf ii spac investment 3 (de) llc,N
upg enterprises llc,N
"tyme technologies, inc.",N
"coreweave, inc.",N
bigger capital fund l p,N
phillips christopher stephen,N
bgpt trebia lp,N
"trasimene trebia, lp",N
softbank group capital ltd,N
"spark capital founders' fund iv, l.p.",N
"qumra capital ii, l.p.",N
"third rock ventures iv, l.p.",N
"bctg holdings, llc",N
new oriental education & technology group inc.,N
horowitz limited partnership viii,N
renaissance capital partners ltd,N
zou ventures llc,N
"alphabit, llc",N
technology & telecommunication llc,N
tekkorp jemb llc,N
"ew healthcare partners fund 2, l.p.",N
mhr fund management llc,Y
wynnefield partners small cap value lp,Y
franklin resources inc,N
stammtisch investments llc,N
"terra capital partners, llc",N
"jw asset management, llc",Y
lakeview investment group & trading co llc,N
horizon kinetics asset management llc,N
tsangs group holdings ltd,N
tcs capital management llc,Y
l.i.a. pure capital ltd,N
ylj yihai ltd,N
"foresite capital fund v, l.p.",N
"atlas venture fund xi, l.p.",N
"first eagle holdings, inc.",N
"thlp debt partners, l.p.",N
park west asset management llc,Y
"tbcp iii, llc",N
crescat portfolio management llc,Y
"tingo international holdings, inc.",N
eras capital llc,N
fmr llc,N
"strategic investment holdings, llc",N
family trading inc.,N
aristides capital llc,Y
"oaktree holdings, llc",N
phillips clifton e,N
kkr phorm investors l.p.,N
"lazarus asset management, llc",N
squadron marketing llc,N
m&g investment management ltd,Y
trip.com group ltd,N
symphonia strategic opportunities ltd,N
"delta value group investment partnership, lp",N
tensile capital management lp,Y
"tascr ventures, llc",N
"caissa sega tourism culture development group co., ltd.",N
"next meats co., ltd",N
donerail group lp,N
saud h r h prince alwaleed bin talal bin abdulaziz al,N
"alta partners nextgen fund ii management, llc",N
y.d. more investments ltd,N
impala asset management llc,Y
pylypiv mariya,N
"ulysses aggregator, lp",N
synergy offshore llc,N
kkr fresh aggregator l.p.,N
"priam capital fund ii, l.p.",N
"series r of um partners, llc",N
eve one fund ii l.p.,N
"joy capital opportunity, l.p.",N
huangpu investment holding ltd,N
"american industrial partners capital fund vi, l.p.",N
salmon pharma gmbh,N
gigworld inc.,N
"vectoiq holdings ii, llc",N
"piv fund i, l.p.",N
"spg gp, llc",N
"sk praetorian holdings, l.p.",N
"nsv investments i, l.p.",N
"madryn asset management, lp",Y
valor parent lp,N
"patriot financial partners iv, l.p.",N
"bunker one (usa), inc.",N
"relative value partners group, llc",N
"crestview partners iv gp, l.p.",N
fpr partners llc,Y
"khosla ventures v, l.p.",N
innovation endeavors iii lp,N
chelvey international ltd,N
sb investment advisers (uk) ltd,N
"atlas venture fund xii, l.p.",N
tgam agribusiness fund holdings lp,N
virgin investments ltd,N
first finance europe ltd,N
integrated core strategies (us) llc,N
"sl spv-2, l.p.",N
"virgo hermes, llc",N
"5am ventures vi, l.p.",N
"cgp2 managers, l.l.c.",N
g42 investments ai holdings rsc ltd.,N
mid atlantic capital associates inc.,N
"balance labs, inc.",N
"battery ventures xi-a, l.p.",N
dynamo internacional gestao de recursos ltda.,N
cedarwalk skincare ltd.,N
waldencast long-term capital llc,N
vitruvian partners llp,N
advance/newhouse programming partnership,N
acp watermark investment llc,N
roran capital llc,N
enstar group ltd,N
wp windstar investments ltd,N
arch capital group ltd.,N
"kelso investment associates x, l.p.",N
crosslink capital inc,Y
welsbach acquisition holdings llc,N
taiho ventures llc,N
banasino investments ltd,N
western acquisition ventures sponsor llc,N
"riverview sponsor partners, llc",N
"benchmark capital management co. vii, l.l.c.",N
conversionpoint technologies inc.,N
"magnolia group, llc",Y
"sr equity ventures, llc",N
retail ecommerce ventures llc,N
mobile mini inc,N
"punch card capital, l.p.",Y
"horton capital partners, llc",N
"silver spike holdings, lp",N
webao ltd,N
sv7 impact medicine fund lp,N
"rivervest venture fund iv, l.p.",N
xp control llc,N
xpac sponsor llc,N
alibaba group holding ltd,N
itui international inc.,N
xiaomi ventures ltd,N
"dakota group, ltd.",N
"catamount strategic advisors, llc",N
"maguire asset management, llc",N
barna capital group ltd.,N
boao biotech ltd,N
focusone technology group ltd,N
focus draw group ltd,N
flydragon international ltd,N
chinaone technology ltd,N
lf international pte. ltd.,N
"merrick company, llc",N
twilio inc,N
highland management partners 9 llc,N
"zimmer partners, lp",Y
equidebt llc,N
"slaa ii (gp), l.l.c.",N
halperin errol r.,N
